dataset_id,exposure_id,acquisition_index,setting_index,t_setting,s_eV2,beta_open_channel,channel_open,start_tdc_ns,stop_tdc_ns,pulse_count,pulse_period_ns,signal_gate_width_ns,live_time_s,cycle_type,calibration_id,clock_calibration_id,response_kernel_version,randomization_key,quality_mask
SIM-0001,EXP-0001-0005,0,4,-0.04,0.000396,0,0,2026081100000000000,2026081110000000000,10000,1000000,200,10,BELOW_THRESHOLD_CONTROL,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0002,1,1,-0.4,0.00036,0,0,2026081111000000000,2026081121000000000,10000,1000000,200,10,BELOW_THRESHOLD_CONTROL,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0001,2,0,-0.6,0.00034,0,0,2026081122000000000,2026081132000000000,10000,1000000,200,10,BELOW_THRESHOLD_CONTROL,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0012,3,11,0.0681598146359,0.000406815981464,0.129439014455,1,2026081133000000000,2026081143000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0009,4,8,0.031974946748,0.000403197494675,0.089052476711,1,2026081144000000000,2026081154000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0025,5,24,1.81123808212,0.000581123808212,0.558281756408,1,2026081155000000000,2026081165000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0019,6,18,0.398601014057,0.000439860101406,0.301031480571,1,2026081166000000000,2026081176000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0007,7,6,0.0193047470746,0.000401930474707,0.0693037268978,1,2026081177000000000,2026081187000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0027,8,26,3,0.0007,0.654653670708,1,2026081188000000000,2026081198000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
SIM-0001,EXP-0001-0026,9,25,2.33103287115,0.000633103287115,0.606787903885,1,2026081199000000000,2026081209000000000,10000,1000000,200,10,PHYSICS_CANDIDATE,CAL-20260811-001,CLOCK-20260811-001,equal-diagonal-PL-v2,ORDER-20260811-001,PASS
